Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Category,Organizer,MatchStage,Date_clean,Date_Year,Result_clean,Goals1,Goals2,Goals_Team,Goals_Opponent,Decision,Play_Position_clean,Minute_clean
2008/2009,Premier League,36,05-10-09,H,Manchester United,Manchester City,2:00,RW,17,1:00,Direct free kick,No assist,National Leagues,English Football Association (FA),Matchday,2009-05-10,2009,2:00,2,0,2,0,Normal,RW,17
2009/2010,LaLiga,1,8/29/09,H,Real Madrid,Deportivo de La CoruÃ±a,3:02,RW,35,2:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2009-08-29,2009,3:02,3,2,3,2,Normal,RW,35
2009/2010,LaLiga,2,09-12-09,A,Real Madrid,RCD Espanyol Barcelona,0:03,,90,0:03,Right-footed shot,Guti,National Leagues,Spanish Football Federation (RFEF),Matchday,2009-09-12,2009,0:03,0,3,3,0,Normal,LW,90
2009/2010,UEFA Champions League,Group Stage,9/15/09,A,Real Madrid,FC ZÃ¼rich,2:05,CF,27,0:01,Direct free kick,No assist,International,UEFA,Stage,2009-09-15,2009,2:05,2,5,5,2,Normal,CF,27
2009/2010,UEFA Champions League,Group Stage,9/15/09,A,Real Madrid,FC ZÃ¼rich,2:05,CF,89,2:04,Direct free kick,No assist,International,UEFA,Stage,2009-09-15,2009,2:05,2,5,5,2,Normal,CF,89
2009/2010,LaLiga,3,9/20/09,H,Real Madrid,Xerez CD,5:00,RW,1,1:00,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2009-09-20,2009,5:00,5,0,5,0,Normal,RW,1
2009/2010,LaLiga,3,9/20/09,H,Real Madrid,Xerez CD,5:00,RW,75,2:00,Header,Esteban Granero,National Leagues,Spanish Football Federation (RFEF),Matchday,2009-09-20,2009,5:00,5,0,5,0,Normal,RW,75
2009/2010,LaLiga,4,9/23/09,A,Real Madrid,Villarreal CF,0:02,CF,2,0:01,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2009-09-23,2009,0:02,0,2,2,0,Normal,CF,2
2009/2010,UEFA Champions League,Group Stage,9/30/09,H,Real Madrid,Olympique Marseille,3:00,CF,58,1:00,Left-footed shot,Pepe,International,UEFA,Stage,2009-09-30,2009,3:00,3,0,3,0,Normal,CF,58
2009/2010,UEFA Champions League,Group Stage,9/30/09,H,Real Madrid,Olympique Marseille,3:00,CF,64,3:00,Right-footed shot,Karim Benzema,International,UEFA,Stage,2009-09-30,2009,3:00,3,0,3,0,Normal,CF,64
2009/2010,LaLiga,13,12-05-09,H,Real Madrid,UD Almeria,4:02,CF,84,4:02,Right-footed shot,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2009-12-05,2009,4:02,4,2,4,2,Normal,CF,84
2009/2010,UEFA Champions League,Group Stage,12-08-09,A,Real Madrid,Olympique Marseille,1:03,CF,5,0:01,Direct free kick,No assist,International,UEFA,Stage,2009-12-08,2009,1:03,1,3,3,1,Normal,CF,5
2009/2010,UEFA Champions League,Group Stage,12-08-09,A,Real Madrid,Olympique Marseille,1:03,CF,80,1:03,Right-footed shot,Lassana Diarra,International,UEFA,Stage,2009-12-08,2009,1:03,1,3,3,1,Normal,CF,80
2009/2010,LaLiga,15,12/19/09,H,Real Madrid,Real Zaragoza,6:00,CF,50,5:00,Left-footed shot,Ezequiel Garay,National Leagues,Spanish Football Federation (RFEF),Matchday,2009-12-19,2009,6:00,6,0,6,0,Normal,CF,50
2009/2010,LaLiga,19,1/24/10,H,Real Madrid,Malaga CF,2:00,RW,35,1:00,Right-footed shot,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-01-24,2010,2:00,2,0,2,0,Normal,RW,35
2009/2010,LaLiga,19,1/24/10,H,Real Madrid,Malaga CF,2:00,RW,39,2:00,Right-footed shot,Guti,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-01-24,2010,2:00,2,0,2,0,Normal,RW,39
2009/2010,LaLiga,22,2/13/10,A,Real Madrid,Xerez CD,0:03,,69,0:02,Header,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-02-13,2010,0:03,0,3,3,0,Normal,LW,69
2009/2010,LaLiga,22,2/13/10,A,Real Madrid,Xerez CD,0:03,,71,0:03,Left-footed shot,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-02-13,2010,0:03,0,3,3,0,Normal,LW,71
2009/2010,LaLiga,23,2/21/10,H,Real Madrid,Villarreal CF,6:02,,18,1:00,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-02-21,2010,6:02,6,2,6,2,Normal,LW,18
2009/2010,LaLiga,24,2/27/10,A,Real Madrid,CD Tenerife,1:05,,78,1:04,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-02-27,2010,1:05,1,5,5,1,Normal,LW,78
2009/2010,LaLiga,25,03-06-10,H,Real Madrid,Sevilla FC,3:02,CF,59,1:02,Left-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-03-06,2010,3:02,3,2,3,2,Normal,CF,59
2009/2010,UEFA Champions League,Last 16,03-10-10,H,Real Madrid,Olympique Lyon,1:01,LW,6,1:00,Left-footed shot,Guti,International,UEFA,Stage,2010-03-10,2010,1:01,1,1,1,1,Normal,LW,6
2009/2010,LaLiga,26,3/14/10,A,Real Madrid,Real Valladolid CF,1:04,CF,29,0:01,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-03-14,2010,1:04,1,4,4,1,Normal,CF,29
2009/2010,LaLiga,28,3/25/10,A,Real Madrid,Getafe CF,2:04,,13,0:01,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-03-25,2010,2:04,2,4,4,2,Normal,LW,13
2009/2010,LaLiga,28,3/25/10,A,Real Madrid,Getafe CF,2:04,,36,0:04,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-03-25,2010,2:04,2,4,4,2,Normal,LW,36
2009/2010,LaLiga,30,04-04-10,A,Real Madrid,Racing Santander,0:02,,23,0:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-04-04,2010,0:02,0,2,2,0,Normal,LW,23
2009/2010,LaLiga,32,4/15/10,A,Real Madrid,UD Almeria,1:02,,26,1:01,Left-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-04-15,2010,1:02,1,2,2,1,Normal,LW,26
2009/2010,LaLiga,33,4/18/10,H,Real Madrid,Valencia CF,2:00,CF,77,2:00,Right-footed shot,Marcelo,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-04-18,2010,2:00,2,0,2,0,Normal,CF,77
2009/2010,LaLiga,35,05-02-10,H,Real Madrid,CA Osasuna,3:02,,25,1:01,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-05-02,2010,3:02,3,2,3,2,Normal,LW,25
2009/2010,LaLiga,35,05-02-10,H,Real Madrid,CA Osasuna,3:02,,89,3:02,Header,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-05-02,2010,3:02,3,2,3,2,Normal,LW,89
2009/2010,LaLiga,36,05-05-10,A,Real Madrid,RCD Mallorca,1:04,,26,1:01,Right-footed shot,Sergio Ramos,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-05-05,2010,1:04,1,4,4,1,Normal,LW,26
2009/2010,LaLiga,36,05-05-10,A,Real Madrid,RCD Mallorca,1:04,,56,1:02,Right-footed shot,Sergio Ramos,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-05-05,2010,1:04,1,4,4,1,Normal,LW,56
2009/2010,LaLiga,36,05-05-10,A,Real Madrid,RCD Mallorca,1:04,,71,1:03,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-05-05,2010,1:04,1,4,4,1,Normal,LW,71
2009/2010,LaLiga,37,05-08-10,H,Real Madrid,Athletic Bilbao,5:01,CF,21,1:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-05-08,2010,5:01,5,1,5,1,Normal,CF,21
2010/2011,LaLiga,4,9/21/10,H,Real Madrid,RCD Espanyol Barcelona,3:00,LW,28,1:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-09-21,2010,3:00,3,0,3,0,Normal,LW,28
2010/2011,LaLiga,6,10-03-10,H,Real Madrid,Deportivo de La CoruÃ±a,6:01,LW,4,1:00,Header,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-03,2010,6:01,6,1,6,1,Normal,LW,4
2010/2011,LaLiga,6,10-03-10,H,Real Madrid,Deportivo de La CoruÃ±a,6:01,LW,89,6:01,Left-footed shot,Xabi Alonso,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-03,2010,6:01,6,1,6,1,Normal,LW,89
2010/2011,LaLiga,7,10/16/10,A,Real Madrid,Malaga CF,1:04,LW,45,0:02,Right-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-16,2010,1:04,1,4,4,1,Normal,LW,45
2010/2011,LaLiga,7,10/16/10,A,Real Madrid,Malaga CF,1:04,LW,50,0:03,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-16,2010,1:04,1,4,4,1,Normal,LW,50
2010/2011,UEFA Champions League,Group Stage,10/19/10,H,Real Madrid,AC Milan,2:00,LW,13,1:00,Direct free kick,No assist,International,UEFA,Stage,2010-10-19,2010,2:00,2,0,2,0,Normal,LW,13
2010/2011,LaLiga,8,10/23/10,H,Real Madrid,Racing Santander,6:01,LW,15,2:00,Right-footed shot,Gonzalo Higuain,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-23,2010,6:01,6,1,6,1,Normal,LW,15
2010/2011,LaLiga,8,10/23/10,H,Real Madrid,Racing Santander,6:01,LW,26,3:00,Left-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-23,2010,6:01,6,1,6,1,Normal,LW,26
2010/2011,LaLiga,8,10/23/10,H,Real Madrid,Racing Santander,6:01,LW,47,4:00,Right-footed shot,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-23,2010,6:01,6,1,6,1,Normal,LW,47
2010/2011,LaLiga,8,10/23/10,H,Real Madrid,Racing Santander,6:01,LW,55,5:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-23,2010,6:01,6,1,6,1,Normal,LW,55
2010/2011,LaLiga,9,10/30/10,A,Real Madrid,Hercules CF,1:03,LW,82,1:02,Right-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-30,2010,1:03,1,3,3,1,Normal,LW,82
2010/2011,LaLiga,9,10/30/10,A,Real Madrid,Hercules CF,1:03,LW,86,1:03,Right-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-10-30,2010,1:03,1,3,3,1,Normal,LW,86
2010/2011,Copa del Rey,Round 4,11-10-10,H,Real Madrid,Real Murcia CF,5:01,,76,3:00,Left-footed shot,Angel Di Maria,National Cups,Spanish Football Federation (RFEF),Stage,2010-11-10,2010,5:01,5,1,5,1,Normal,LW,76
2010/2011,LaLiga,12,11/20/10,H,Real Madrid,Athletic Bilbao,5:01,LW,30,2:00,Left-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-11-20,2010,5:01,5,1,5,1,Normal,LW,30
2010/2011,LaLiga,12,11/20/10,H,Real Madrid,Athletic Bilbao,5:01,LW,62,4:01,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-11-20,2010,5:01,5,1,5,1,Normal,LW,62
2010/2011,LaLiga,12,11/20/10,H,Real Madrid,Athletic Bilbao,5:01,LW,90+1,5:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-11-20,2010,5:01,5,1,5,1,Normal,LW,91
2010/2011,UEFA Champions League,Group Stage,11/23/10,A,Real Madrid,Ajax Amsterdam,0:04,LW,70,0:03,Left-footed shot,Angel Di Maria,International,UEFA,Stage,2010-11-23,2010,0:04,0,4,4,0,Normal,LW,70
2010/2011,UEFA Champions League,Group Stage,11/23/10,A,Real Madrid,Ajax Amsterdam,0:04,LW,81,0:04,Penalty,No assist,International,UEFA,Stage,2010-11-23,2010,0:04,0,4,4,0,Normal,LW,81
2010/2011,LaLiga,14,12-04-10,H,Real Madrid,Valencia CF,2:00,LW,72,1:00,Left-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-12-04,2010,2:00,2,0,2,0,Normal,LW,72
2010/2011,LaLiga,14,12-04-10,H,Real Madrid,Valencia CF,2:00,LW,86,2:00,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-12-04,2010,2:00,2,0,2,0,Normal,LW,86
2010/2011,UEFA Champions League,Group Stage,12-08-10,H,Real Madrid,AJ Auxerre,4:00,LW,49,2:00,Right-footed shot,Marcelo,International,UEFA,Stage,2010-12-08,2010,4:00,4,0,4,0,Normal,LW,49
2010/2011,LaLiga,15,12-12-10,A,Real Madrid,Real Zaragoza,1:03,LW,43,0:02,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2010-12-12,2010,1:03,1,3,3,1,Normal,LW,43
2010/2011,Copa del Rey,Last 16,12/22/10,H,Real Madrid,Levante UD,8:00,LW,44,4:00,Right-footed shot,Karim Benzema,National Cups,Spanish Football Federation (RFEF),Stage,2010-12-22,2010,8:00,8,0,8,0,Normal,LW,44
2010/2011,Copa del Rey,Last 16,12/22/10,H,Real Madrid,Levante UD,8:00,LW,71,6:00,Right-footed shot,Angel Di Maria,National Cups,Spanish Football Federation (RFEF),Stage,2010-12-22,2010,8:00,8,0,8,0,Normal,LW,71
2010/2011,Copa del Rey,Last 16,12/22/10,H,Real Madrid,Levante UD,8:00,LW,73,7:00,Right-footed shot,Karim Benzema,National Cups,Spanish Football Federation (RFEF),Stage,2010-12-22,2010,8:00,8,0,8,0,Normal,LW,73
2010/2011,LaLiga,17,01-03-11,A,Real Madrid,Getafe CF,2:03,LW,11,0:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-01-03,2011,2:03,2,3,3,2,Normal,LW,11
2010/2011,LaLiga,17,01-03-11,A,Real Madrid,Getafe CF,2:03,LW,57,1:03,Right-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-01-03,2011,2:03,2,3,3,2,Normal,LW,57
2010/2011,LaLiga,18,01-09-11,H,Real Madrid,Villarreal CF,4:02,LW,10,1:01,Right-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-01-09,2011,4:02,4,2,4,2,Normal,LW,10
2010/2011,LaLiga,18,01-09-11,H,Real Madrid,Villarreal CF,4:02,LW,45,2:02,Header,Xabi Alonso,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-01-09,2011,4:02,4,2,4,2,Normal,LW,45
2010/2011,LaLiga,18,01-09-11,H,Real Madrid,Villarreal CF,4:02,LW,79,3:02,Left-footed shot,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-01-09,2011,4:02,4,2,4,2,Normal,LW,79
2010/2011,Copa del Rey,Quarter-Finals,1/13/11,H,Real Madrid,Atletico de Madrid,3:01,LW,60,2:01,Right-footed shot,Mesut Ozil,National Cups,Spanish Football Federation (RFEF),Stage,2011-01-13,2011,3:01,3,1,3,1,Normal,LW,60
2010/2011,Copa del Rey,Quarter-Finals,1/20/11,A,Real Madrid,Atletico de Madrid,0:01,CF,22,0:01,Right-footed shot,Sergio Ramos,National Cups,Spanish Football Federation (RFEF),Stage,2011-01-20,2011,0:01,0,1,1,0,Normal,CF,22
2010/2011,LaLiga,22,02-06-11,H,Real Madrid,Real Sociedad,4:01,LW,20,2:00,Left-footed shot,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-02-06,2011,4:01,4,1,4,1,Normal,LW,20
2010/2011,LaLiga,22,02-06-11,H,Real Madrid,Real Sociedad,4:01,LW,42,3:00,Header,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-02-06,2011,4:01,4,1,4,1,Normal,LW,42
2010/2011,LaLiga,26,03-03-11,H,Real Madrid,Malaga CF,7:00,LW,50,4:00,Left-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-03-03,2011,7:00,7,0,7,0,Normal,LW,50
2010/2011,LaLiga,26,03-03-11,H,Real Madrid,Malaga CF,7:00,LW,67,6:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-03-03,2011,7:00,7,0,7,0,Normal,LW,67
2010/2011,LaLiga,26,03-03-11,H,Real Madrid,Malaga CF,7:00,LW,76,7:00,Right-footed shot,Sergio Canales,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-03-03,2011,7:00,7,0,7,0,Normal,LW,76
2010/2011,UEFA Champions League,Quarter-Finals,04-05-11,H,Real Madrid,Tottenham Hotspur,4:00,LW,87,4:00,Right-footed shot,Kaka,International,UEFA,Stage,2011-04-05,2011,4:00,4,0,4,0,Normal,LW,87
2010/2011,LaLiga,31,04-09-11,A,Real Madrid,Athletic Bilbao,0:03,CF,70,0:03,Right-footed shot,Esteban Granero,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-04-09,2011,0:03,0,3,3,0,Normal,CF,70
2010/2011,UEFA Champions League,Quarter-Finals,4/13/11,A,Real Madrid,Tottenham Hotspur,0:01,RW,50,0:01,Right-footed shot,Sami Khedira,International,UEFA,Stage,2011-04-13,2011,0:01,0,1,1,0,Normal,RW,50
2010/2011,LaLiga,32,4/16/11,H,Real Madrid,FC Barcelona,1:01,LW,82,1:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-04-16,2011,1:01,1,1,1,1,Normal,LW,82
2010/2011,Copa del Rey,Final,4/20/11,A,Real Madrid,FC Barcelona,0:1 AET,CF,103,0:01,Header,Angel Di Maria,National Cups,Spanish Football Federation (RFEF),Stage,2011-04-20,2011,0:1,0,1,1,0,After Extra Time,CF,103
2010/2011,LaLiga,35,05-07-11,A,Real Madrid,Sevilla FC,2:06,LW,30,0:02,Right-footed shot,Pepe,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-07,2011,2:06,2,6,6,2,Normal,LW,30
2010/2011,LaLiga,35,05-07-11,A,Real Madrid,Sevilla FC,2:06,LW,64,1:04,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-07,2011,2:06,2,6,6,2,Normal,LW,64
2010/2011,LaLiga,35,05-07-11,A,Real Madrid,Sevilla FC,2:06,LW,70,1:05,Right-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-07,2011,2:06,2,6,6,2,Normal,LW,70
2010/2011,LaLiga,35,05-07-11,A,Real Madrid,Sevilla FC,2:06,LW,76,1:06,Right-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-07,2011,2:06,2,6,6,2,Normal,LW,76
2010/2011,LaLiga,36,05-10-11,H,Real Madrid,Getafe CF,4:00,LW,23,1:00,Header,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-10,2011,4:00,4,0,4,0,Normal,LW,23
2010/2011,LaLiga,36,05-10-11,H,Real Madrid,Getafe CF,4:00,LW,57,2:00,Left-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-10,2011,4:00,4,0,4,0,Normal,LW,57
2010/2011,LaLiga,36,05-10-11,H,Real Madrid,Getafe CF,4:00,LW,90+1,4:00,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-10,2011,4:00,4,0,4,0,Normal,LW,91
2010/2011,LaLiga,37,5/15/11,A,Real Madrid,Villarreal CF,1:03,CF,22,0:02,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-15,2011,1:03,1,3,3,1,Normal,CF,22
2010/2011,LaLiga,37,5/15/11,A,Real Madrid,Villarreal CF,1:03,CF,90,1:03,Direct free kick,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-15,2011,1:03,1,3,3,1,Normal,CF,90
2010/2011,LaLiga,38,5/21/11,H,Real Madrid,UD Almeria,8:01,LW,4,1:00,Right-footed shot,Sergio Ramos,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-21,2011,8:01,8,1,8,1,Normal,LW,4
2010/2011,LaLiga,38,5/21/11,H,Real Madrid,UD Almeria,8:01,LW,76,7:01,Right-footed shot,Sergio Ramos,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-05-21,2011,8:01,8,1,8,1,Normal,LW,76
2011/2012,Supercopa,Final,8/17/11,A,Real Madrid,FC Barcelona,3:02,LW,20,1:01,Right-footed shot,Karim Benzema,National SuperCups,Spanish Football Federation (RFEF),Stage,2011-08-17,2011,3:02,3,2,2,3,Normal,LW,20
2011/2012,LaLiga,2,8/28/11,A,Real Madrid,Real Zaragoza,0:06,LW,23,0:01,Left-footed shot,Mesut Ozil,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-08-28,2011,0:06,0,6,6,0,Normal,LW,23
2011/2012,LaLiga,2,8/28/11,A,Real Madrid,Real Zaragoza,0:06,LW,70,0:04,Right-footed shot,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-08-28,2011,0:06,0,6,6,0,Normal,LW,70
2011/2012,LaLiga,2,8/28/11,A,Real Madrid,Real Zaragoza,0:06,LW,86,0:06,Right-footed shot,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-08-28,2011,0:06,0,6,6,0,Normal,LW,86
2011/2012,LaLiga,3,09-10-11,H,Real Madrid,Getafe CF,4:02,LW,59,2:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-09-10,2011,4:02,4,2,4,2,Normal,LW,59
2011/2012,LaLiga,6,9/24/11,H,Real Madrid,Rayo Vallecano,6:02,LW,39,1:01,Left-footed shot,Kaka,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-09-24,2011,6:02,6,2,6,2,Normal,LW,39
2011/2012,LaLiga,6,9/24/11,H,Real Madrid,Rayo Vallecano,6:02,LW,51,3:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-09-24,2011,6:02,6,2,6,2,Normal,LW,51
2011/2012,LaLiga,6,9/24/11,H,Real Madrid,Rayo Vallecano,6:02,LW,84,6:02,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-09-24,2011,6:02,6,2,6,2,Normal,LW,84
2011/2012,UEFA Champions League,Group Stage,9/27/11,H,Real Madrid,Ajax Amsterdam,3:00,LW,25,1:00,Right-footed shot,Karim Benzema,International,UEFA,Stage,2011-09-27,2011,3:00,3,0,3,0,Normal,LW,25
2011/2012,LaLiga,9,10/22/11,A,Real Madrid,Malaga CF,0:04,LW,24,0:02,Left-footed shot,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-10-22,2011,0:04,0,4,4,0,Normal,LW,24
2011/2012,LaLiga,9,10/22/11,A,Real Madrid,Malaga CF,0:04,LW,28,0:03,Right-footed shot,Xabi Alonso,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-10-22,2011,0:04,0,4,4,0,Normal,LW,28
2011/2012,LaLiga,9,10/22/11,A,Real Madrid,Malaga CF,0:04,LW,38,0:04,Right-footed shot,Sergio Ramos,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-10-22,2011,0:04,0,4,4,0,Normal,LW,38
2011/2012,UEFA Champions League,Group Stage,11-02-11,A,Real Madrid,Olympique Lyon,0:02,LW,25,0:01,Direct free kick,No assist,International,UEFA,Stage,2011-11-02,2011,0:02,0,2,2,0,Normal,LW,25
2011/2012,UEFA Champions League,Group Stage,11-02-11,A,Real Madrid,Olympique Lyon,0:02,LW,69,0:02,Penalty,No assist,International,UEFA,Stage,2011-11-02,2011,0:02,0,2,2,0,Normal,LW,69
2011/2012,LaLiga,12,11-06-11,H,Real Madrid,CA Osasuna,7:01,LW,23,1:00,Header,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-11-06,2011,7:01,7,1,7,1,Normal,LW,23
2011/2012,LaLiga,12,11-06-11,H,Real Madrid,CA Osasuna,7:01,LW,55,4:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-11-06,2011,7:01,7,1,7,1,Normal,LW,55
2011/2012,LaLiga,12,11-06-11,H,Real Madrid,CA Osasuna,7:01,LW,58,5:01,Header,alvaro Arbeloa,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-11-06,2011,7:01,7,1,7,1,Normal,LW,58
2011/2012,LaLiga,13,11/19/11,A,Real Madrid,Valencia CF,2:03,LW,79,1:03,Right-footed shot,Pepe,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-11-19,2011,2:03,2,3,3,2,Normal,LW,79
2011/2012,LaLiga,14,11/26/11,H,Real Madrid,Atletico de Madrid,4:01,LW,24,1:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-11-26,2011,4:01,4,1,4,1,Normal,LW,24
2011/2012,LaLiga,14,11/26/11,H,Real Madrid,Atletico de Madrid,4:01,LW,82,4:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-11-26,2011,4:01,4,1,4,1,Normal,LW,82
2011/2012,LaLiga,15,12-03-11,A,Real Madrid,Sporting GijÃ³n,0:03,LW,65,0:02,Right-footed shot,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-12-03,2011,0:03,0,3,3,0,Normal,LW,65
2011/2012,Copa del Rey,Round 4,12/13/11,A,Real Madrid,SD Ponferradina,0:02,LW,74,0:02,Left-footed shot,Gonzalo Higuain,National Cups,Spanish Football Federation (RFEF),Stage,2011-12-13,2011,0:02,0,2,2,0,Normal,LW,74
2011/2012,LaLiga,17,12/17/11,A,Real Madrid,Sevilla FC,2:06,LW,10,0:01,Right-footed shot,Angel Di Maria,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-12-17,2011,2:06,2,6,6,2,Normal,LW,10
2011/2012,LaLiga,17,12/17/11,A,Real Madrid,Sevilla FC,2:06,LW,41,0:03,Right-footed shot,Karim Benzema,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-12-17,2011,2:06,2,6,6,2,Normal,LW,41
2011/2012,LaLiga,17,12/17/11,A,Real Madrid,Sevilla FC,2:06,LW,86,1:05,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2011-12-17,2011,2:06,2,6,6,2,Normal,LW,86
2011/2012,LaLiga,18,01-07-12,H,Real Madrid,Granada CF,5:01,LW,89,5:01,Right-footed shot,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-01-07,2012,5:01,5,1,5,1,Normal,LW,89
2011/2012,Copa del Rey,Quarter-Finals,1/18/12,H,Real Madrid,FC Barcelona,1:02,LW,11,1:00,Left-footed shot,Karim Benzema,National Cups,Spanish Football Federation (RFEF),Stage,2012-01-18,2012,1:02,1,2,1,2,Normal,LW,11
2011/2012,LaLiga,1,1/22/12,H,Real Madrid,Athletic Bilbao,4:01,LW,46,2:01,Penalty,No assist,National Leagues,Spanish Football Federation (RFEF),Matchday,2012-01-22,2012,4:01,4,1,4,1,Normal,LW,46
